feature,importance
limit_bal,283.6
util_trend,238.2
coverage_mean,207.8
util_mean,205.2
util_max,193.6
age,189.8
util_last,186.2
coverage_last,156.8
afterpay_last,152.0
coverage_trend,144.0
delay_trend,112.2
delay_last,99.8
delay_max,85.6
delay_months,66.4
EDUCATION,49.6
util_high_months,23.2
